Year,Profession,HourlyRate,Source,Region,Experience
2015.33,Audio Production,28.89,,,
2015.33,Audio Production,28.85,,,
2015.33,Blockchain Development,55.76,,,
2015.33,Blockchain Development,53.92,,,
2015.33,Blockchain Development,56.99,,,
2015.33,Blockchain Development,58.62,,,
2015.33,Blockchain Development,54.14,,,
2015.33,Content Creation,18.21,,,
2015.33,Content Creation,18.22,,,
2015.33,Content Creation,18.22,,,
2015.33,Content Creation,18.29,,,
2015.33,Content Creation,18.5,,,
2015.33,Cybersecurity,50.83,,,
2015.33,Cybersecurity,51.36,,,
2015.33,Cybersecurity,51.84,,,
2015.33,Cybersecurity,53.66,,,
2015.33,Cybersecurity,50.78,,,
2015.33,Data Analysis,32.98,,,
2015.33,DevOps Engineering,40.04,,,
2015.33,DevOps Engineering,39.98,,,
2015.33,DevOps Engineering,41.52,,,
2015.33,DevOps Engineering,40.46,,,
2015.33,DevOps Engineering,42.86,,,
2015.33,Graphic Design,23.31,,,
2015.33,Legal Services,59.77,,,
2015.33,Legal Services,59.86,,,
2015.33,Legal Services,60.76,,,
2015.33,Legal Services,60.36,,,
2015.33,Legal Services,60.95,,,
2015.33,Marketing,27.09,,,
2015.33,Mobile Development,35.18,,,
2015.33,Mobile Development,34.99,,,
2015.33,Mobile Development,35.44,,,
2015.33,Mobile Development,36.16,,,
2015.33,Mobile Development,35.06,,,
2015.33,Photography,25.09,,,
2015.33,Photography,25.23,,,
2015.33,Photography,25.39,,,
2015.33,Photography,26.19,,,
2015.33,Photography,26.15,,,
2015.33,Project Management,39.91,,,
2015.33,Project Management,39.86,,,
2015.33,Project Management,39.53,,,
2015.33,Project Management,40.15,,,
2015.33,Project Management,39.97,,,
2015.33,SEO/SEM,25.33,,,
2015.33,SEO/SEM,25.65,,,
2015.33,SEO/SEM,25.44,,,
2015.33,SEO/SEM,25.53,,,
2015.33,SEO/SEM,25.65,,,
2015.33,Social Media Management,19.51,,,
2015.33,Social Media Management,20.02,,,
2015.33,Social Media Management,20.73,,,
2015.33,Social Media Management,20.44,,,
2015.33,Social Media Management,20.65,,,
2015.33,Translation,21.84,,,
2015.33,Translation,22.06,,,
2015.33,Translation,22.1,,,
2015.33,Translation,22.44,,,
2015.33,Translation,22.25,,,
2015.33,UX/UI Design,33.65,,,
2015.33,Video Editing,23.11,,,
2015.33,Virtual Assistant,15.34,,,
2015.33,Voiceover,31.79,,,
2015.33,Web Development,34.11,,,
2015.33,Writing,20.33,,,
2015.42,3D Modeling,30.45,,,
2015.42,3D Modeling,30.24,,,
2015.42,3D Modeling,30.51,,,
2015.42,3D Modeling,31.41,,,
2015.42,3D Modeling,30.64,,,
2015.42,3D Modeling,32.16,,,
2015.42,AI/ML Development,45.69,,,
2015.42,AI/ML Development,46.08,,,
2015.42,AI/ML Development,45.65,,,
2015.42,AI/ML Development,46.55,,,
2015.42,AI/ML Development,45.68,,,
2015.42,AI/ML Development,47.0,,,
2015.42,Accounting,34.37,,,
2015.42,Accounting,34.57,,,
2015.42,Accounting,36.06,,,
2015.42,Accounting,35.63,,,
2015.42,Accounting,36.06,,,
2015.42,Accounting,35.94,,,
2015.42,Audio Production,27.64,,,
2015.42,Audio Production,27.33,,,
2015.42,Audio Production,27.75,,,
2015.42,Audio Production,28.89,,,
2015.42,Audio Production,28.97,,,
2015.42,Audio Production,28.55,,,
2015.42,Blockchain Development,53.54,,,
2015.42,Blockchain Development,54.83,,,
2015.42,Blockchain Development,57.33,,,
2015.42,Blockchain Development,55.9,,,
2015.42,Blockchain Development,55.76,,,
2015.42,Blockchain Development,56.81,,,
2015.42,Content Creation,17.65,,,
2015.42,Content Creation,17.78,,,
2015.42,Content Creation,18.05,,,
2015.42,Content Creation,18.55,,,
2015.42,Content Creation,18.1,,,
2015.42,Content Creation,18.5,,,
2015.42,Cybersecurity,50.15,,,
2015.42,Cybersecurity,50.9,,,
2015.42,Cybersecurity,50.73,,,
2015.42,Cybersecurity,52.01,,,
2015.42,Cybersecurity,52.22,,,
2015.42,Cybersecurity,53.66,,,
2015.42,Data Analysis,32.75,,,
2015.42,DevOps Engineering,40.2,,,
2015.42,DevOps Engineering,40.93,,,
2015.42,DevOps Engineering,40.62,,,
2015.42,DevOps Engineering,40.49,,,
2015.42,DevOps Engineering,40.39,,,
2015.42,DevOps Engineering,40.96,,,
2015.42,Graphic Design,23.45,,,
2015.42,Legal Services,60.54,,,
2015.42,Legal Services,60.34,,,
2015.42,Legal Services,61.32,,,
2015.42,Legal Services,60.61,,,
2015.42,Legal Services,61.34,,,
2015.42,Legal Services,60.75,,,
2015.42,Marketing,27.12,,,
2015.42,Mobile Development,34.73,,,
2015.42,Mobile Development,34.94,,,
2015.42,Mobile Development,36.1,,,
2015.42,Mobile Development,35.39,,,
2015.42,Mobile Development,35.85,,,
2015.42,Mobile Development,35.0,,,
2015.42,Photography,25.1,,,
2015.42,Photography,25.26,,,
2015.42,Photography,25.62,,,
2015.42,Photography,25.32,,,
2015.42,Photography,25.81,,,
2015.42,Photography,25.55,,,
2015.42,Project Management,39.35,,,
2015.42,Project Management,40.37,,,
2015.42,Project Management,39.92,,,
2015.42,Project Management,40.31,,,
2015.42,Project Management,40.53,,,
2015.42,Project Management,40.9,,,
2015.42,SEO/SEM,24.76,,,
2015.42,SEO/SEM,24.91,,,
2015.42,SEO/SEM,25.55,,,
2015.42,SEO/SEM,26.09,,,
2015.42,SEO/SEM,25.08,,,
2015.42,SEO/SEM,25.95,,,
2015.42,Social Media Management,20.1,,,
2015.42,Social Media Management,19.95,,,
2015.42,Social Media Management,20.32,,,
2015.42,Social Media Management,20.47,,,
2015.42,Social Media Management,20.74,,,
2015.42,Social Media Management,20.45,,,
2015.42,Translation,21.99,,,
2015.42,Translation,22.03,,,
2015.42,Translation,22.17,,,
2015.42,Translation,22.4,,,
2015.42,Translation,22.18,,,
2015.42,Translation,22.44,,,
2015.42,UX/UI Design,33.78,,,
2015.42,Video Editing,23.25,,,
2015.42,Virtual Assistant,15.99,,,
2015.42,Voiceover,31.74,,,
2015.42,Web Development,34.17,,,
2015.42,Writing,20.25,,,
2015.5,3D Modeling,30.34,,,
2015.5,3D Modeling,30.39,,,
2015.5,3D Modeling,30.69,,,
2015.5,3D Modeling,31.16,,,
2015.5,3D Modeling,31.65,,,
2015.5,3D Modeling,32.0,,,
2015.5,3D Modeling,31.21,,,
2015.5,AI/ML Development,42.77,,,
2015.5,AI/ML Development,44.26,,,
2015.5,AI/ML Development,44.12,,,
2015.5,AI/ML Development,46.66,,,
2015.5,AI/ML Development,46.61,,,
2015.5,AI/ML Development,45.91,,,
2015.5,AI/ML Development,47.96,,,
2015.5,Accounting,35.55,,,
2015.5,Accounting,35.45,,,
2015.5,Accounting,35.14,,,
2015.5,Accounting,34.99,,,
2015.5,Accounting,35.76,,,
2015.5,Accounting,35.56,,,
2015.5,Accounting,35.63,,,
2015.5,Audio Production,27.83,,,
2015.5,Audio Production,27.86,,,
2015.5,Audio Production,28.47,,,
2015.5,Audio Production,29.33,,,
2015.5,Audio Production,28.65,,,
2015.5,Audio Production,28.74,,,
2015.5,Audio Production,28.24,,,
2015.5,Blockchain Development,54.75,,,
2015.5,Blockchain Development,54.81,,,
2015.5,Blockchain Development,54.57,,,
2015.5,Blockchain Development,59.19,,,
2015.5,Blockchain Development,57.71,,,
2015.5,Blockchain Development,59.16,,,
2015.5,Blockchain Development,57.02,,,
2015.5,Content Creation,17.97,,,
2015.5,Content Creation,18.09,,,
2015.5,Content Creation,18.41,,,
2015.5,Content Creation,17.99,,,
2015.5,Content Creation,18.52,,,
2015.5,Content Creation,18.05,,,
2015.5,Content Creation,19.0,,,
2015.5,Cybersecurity,50.21,,,
2015.5,Cybersecurity,50.44,,,
2015.5,Cybersecurity,51.05,,,
2015.5,Cybersecurity,50.14,,,
2015.5,Cybersecurity,50.65,,,
2015.5,Cybersecurity,51.63,,,
2015.5,Cybersecurity,52.21,,,
2015.5,Data Analysis,32.52,,,
2015.5,DevOps Engineering,39.56,,,
2015.5,DevOps Engineering,41.06,,,
2015.5,DevOps Engineering,40.79,,,
2015.5,DevOps Engineering,40.24,,,
2015.5,DevOps Engineering,40.43,,,
2015.5,DevOps Engineering,40.78,,,
2015.5,DevOps Engineering,42.8,,,
2015.5,Graphic Design,23.58,,,
2015.5,Legal Services,60.24,,,
2015.5,Legal Services,59.54,,,
2015.5,Legal Services,61.1,,,
2015.5,Legal Services,61.13,,,
2015.5,Legal Services,60.5,,,
2015.5,Legal Services,60.96,,,
2015.5,Legal Services,61.23,,,
2015.5,Marketing,27.16,,,
2015.5,Mobile Development,35.18,,,
2015.5,Mobile Development,35.02,,,
2015.5,Mobile Development,36.02,,,
2015.5,Mobile Development,35.88,,,
2015.5,Mobile Development,36.29,,,
2015.5,Mobile Development,35.8,,,
2015.5,Mobile Development,36.58,,,
2015.5,Photography,25.17,,,
2015.5,Photography,24.77,,,
2015.5,Photography,25.3,,,
2015.5,Photography,24.95,,,
2015.5,Photography,26.42,,,
2015.5,Photography,24.76,,,
2015.5,Photography,25.72,,,
2015.5,Project Management,40.29,,,
2015.5,Project Management,41.45,,,
2015.5,Project Management,41.55,,,
2015.5,Project Management,40.54,,,
2015.5,Project Management,41.73,,,
2015.5,Project Management,41.13,,,
2015.5,Project Management,41.13,,,
2015.5,SEO/SEM,24.65,,,
2015.5,SEO/SEM,25.25,,,
2015.5,SEO/SEM,25.03,,,
2015.5,SEO/SEM,25.55,,,
2015.5,SEO/SEM,25.58,,,
2015.5,SEO/SEM,26.16,,,
2015.5,SEO/SEM,25.78,,,
2015.5,Social Media Management,19.98,,,
2015.5,Social Media Management,20.25,,,
2015.5,Social Media Management,20.13,,,
2015.5,Social Media Management,20.55,,,
2015.5,Social Media Management,20.29,,,
2015.5,Social Media Management,20.82,,,
2015.5,Social Media Management,20.65,,,
2015.5,Translation,21.9,,,
2015.5,Translation,22.05,,,
2015.5,Translation,21.96,,,
2015.5,Translation,22.42,,,
2015.5,Translation,22.31,,,
2015.5,Translation,22.05,,,
2015.5,Translation,22.8,,,
2015.5,UX/UI Design,33.9,,,
2015.5,Video Editing,23.38,,,
2015.5,Virtual Assistant,16.63,,,
2015.5,Voiceover,31.68,,,
2015.5,Web Development,34.24,,,
2015.5,Writing,20.17,,,
2015.58,3D Modeling,29.47,,,
2015.58,3D Modeling,30.57,,,
2015.58,3D Modeling,30.3,,,
2015.58,3D Modeling,30.22,,,
2015.58,3D Modeling,30.36,,,
2015.58,3D Modeling,30.48,,,
2015.58,3D Modeling,30.73,,,
2015.58,3D Modeling,30.92,,,
2015.58,AI/ML Development,44.88,,,
2015.58,AI/ML Development,44.63,,,
2015.58,AI/ML Development,45.28,,,
2015.58,AI/ML Development,48.36,,,
2015.58,AI/ML Development,46.88,,,
2015.58,AI/ML Development,47.71,,,
2015.58,AI/ML Development,49.35,,,
2015.58,AI/ML Development,47.82,,,
2015.58,Accounting,34.99,,,
2015.58,Accounting,34.64,,,
2015.58,Accounting,35.85,,,
2015.58,Accounting,35.87,,,
2015.58,Accounting,35.56,,,
2015.58,Accounting,36.53,,,
2015.58,Accounting,35.15,,,
2015.58,Accounting,36.89,,,
2015.58,Audio Production,28.14,,,
2015.58,Audio Production,28.41,,,
2015.58,Audio Production,28.63,,,
2015.58,Audio Production,28.03,,,
2015.58,Audio Production,28.07,,,
2015.58,Audio Production,29.68,,,
2015.58,Audio Production,28.56,,,
2015.58,Audio Production,29.29,,,
2015.58,Blockchain Development,55.8,,,
2015.58,Blockchain Development,56.07,,,
2015.58,Blockchain Development,57.6,,,
2015.58,Blockchain Development,55.87,,,
2015.58,Blockchain Development,58.86,,,
2015.58,Blockchain Development,57.87,,,
2015.58,Blockchain Development,59.69,,,
2015.58,Blockchain Development,56.57,,,
2015.58,Content Creation,18.01,,,
2015.58,Content Creation,18.23,,,
2015.58,Content Creation,17.98,,,
2015.58,Content Creation,18.38,,,
2015.58,Content Creation,18.45,,,
2015.58,Content Creation,18.43,,,
2015.58,Content Creation,18.5,,,
2015.58,Content Creation,18.18,,,
2015.58,Cybersecurity,50.54,,,
2015.58,Cybersecurity,50.37,,,
2015.58,Cybersecurity,51.12,,,
2015.58,Cybersecurity,51.23,,,
2015.58,Cybersecurity,53.26,,,
2015.58,Cybersecurity,53.72,,,
2015.58,Cybersecurity,52.12,,,
2015.58,Cybersecurity,54.47,,,
2015.58,Data Analysis,32.29,,,
2015.58,DevOps Engineering,40.3,,,
2015.58,DevOps Engineering,40.22,,,
2015.58,DevOps Engineering,42.47,,,
2015.58,DevOps Engineering,41.75,,,
2015.58,DevOps Engineering,40.18,,,
2015.58,DevOps Engineering,42.16,,,
2015.58,DevOps Engineering,42.02,,,
2015.58,DevOps Engineering,41.6,,,
2015.58,Graphic Design,23.71,,,
2015.58,Legal Services,59.83,,,
2015.58,Legal Services,60.41,,,
2015.58,Legal Services,59.7,,,
2015.58,Legal Services,60.78,,,
2015.58,Legal Services,60.45,,,
2015.58,Legal Services,60.78,,,
2015.58,Legal Services,61.92,,,
2015.58,Legal Services,61.53,,,
2015.58,Marketing,27.19,,,
2015.58,Mobile Development,35.78,,,
2015.58,Mobile Development,35.89,,,
2015.58,Mobile Development,35.68,,,
2015.58,Mobile Development,36.3,,,
2015.58,Mobile Development,35.63,,,
2015.58,Mobile Development,36.48,,,
2015.58,Mobile Development,36.49,,,
2015.58,Mobile Development,36.93,,,
2015.58,Photography,25.05,,,
2015.58,Photography,25.02,,,
2015.58,Photography,25.0,,,
2015.58,Photography,25.61,,,
2015.58,Photography,25.32,,,
2015.58,Photography,25.14,,,
2015.58,Photography,25.56,,,
2015.58,Photography,25.54,,,
2015.58,Project Management,39.39,,,
2015.58,Project Management,40.58,,,
2015.58,Project Management,40.35,,,
2015.58,Project Management,41.11,,,
2015.58,Project Management,40.98,,,
2015.58,Project Management,40.85,,,
2015.58,Project Management,40.68,,,
2015.58,Project Management,41.55,,,
2015.58,SEO/SEM,25.68,,,
2015.58,SEO/SEM,24.83,,,
2015.58,SEO/SEM,25.55,,,
2015.58,SEO/SEM,25.04,,,
2015.58,SEO/SEM,26.02,,,
2015.58,SEO/SEM,25.9,,,
2015.58,SEO/SEM,25.75,,,
2015.58,SEO/SEM,26.28,,,
2015.58,Social Media Management,19.66,,,
2015.58,Social Media Management,19.64,,,
2015.58,Social Media Management,20.14,,,
2015.58,Social Media Management,20.16,,,
2015.58,Social Media Management,20.42,,,
2015.58,Social Media Management,20.55,,,
2015.58,Social Media Management,20.99,,,
2015.58,Social Media Management,20.69,,,
2015.58,Translation,22.05,,,
2015.58,Translation,22.26,,,
2015.58,Translation,21.65,,,
2015.58,Translation,21.75,,,
2015.58,Translation,22.34,,,
2015.58,Translation,22.46,,,
2015.58,Translation,22.81,,,
2015.58,Translation,22.75,,,
2015.58,UX/UI Design,34.03,,,
2015.58,Video Editing,23.52,,,
2015.58,Virtual Assistant,17.27,,,
2015.58,Voiceover,31.62,,,
2015.58,Web Development,34.31,,,
2015.58,Writing,20.09,,,
2015.67,3D Modeling,29.37,,,
2015.67,3D Modeling,30.56,,,
2015.67,3D Modeling,30.02,,,
2015.67,3D Modeling,29.88,,,
2015.67,3D Modeling,30.97,,,
2015.67,3D Modeling,31.82,,,
2015.67,3D Modeling,31.31,,,
2015.67,3D Modeling,32.04,,,
2015.67,3D Modeling,32.39,,,
2015.67,AI/ML Development,45.7,,,
2015.67,AI/ML Development,45.93,,,
2015.67,AI/ML Development,45.4,,,
2015.67,AI/ML Development,47.74,,,
2015.67,AI/ML Development,46.52,,,
2015.67,AI/ML Development,47.8,,,
2015.67,AI/ML Development,48.68,,,
2015.67,AI/ML Development,47.15,,,
2015.67,AI/ML Development,48.62,,,
2015.67,Accounting,35.28,,,
2015.67,Accounting,35.53,,,
2015.67,Accounting,35.3,,,
2015.67,Accounting,35.1,,,
2015.67,Accounting,35.67,,,
2015.67,Accounting,35.77,,,
2015.67,Accounting,35.35,,,
2015.67,Accounting,35.98,,,
2015.67,Accounting,35.56,,,
2015.67,Audio Production,28.05,,,
2015.67,Audio Production,28.65,,,
2015.67,Audio Production,28.19,,,
2015.67,Audio Production,28.09,,,
2015.67,Audio Production,29.94,,,
2015.67,Audio Production,28.79,,,
2015.67,Audio Production,28.37,,,
2015.67,Audio Production,28.99,,,
2015.67,Audio Production,29.72,,,
2015.67,Blockchain Development,56.36,,,
2015.67,Blockchain Development,55.94,,,
2015.67,Blockchain Development,56.35,,,
2015.67,Blockchain Development,56.53,,,
2015.67,Blockchain Development,59.08,,,
2015.67,Blockchain Development,54.8,,,
2015.67,Blockchain Development,56.07,,,
2015.67,Blockchain Development,60.06,,,
2015.67,Blockchain Development,59.58,,,
2015.67,Content Creation,18.01,,,
2015.67,Content Creation,18.37,,,
2015.67,Content Creation,18.25,,,
2015.67,Content Creation,18.24,,,
2015.67,Content Creation,18.14,,,
2015.67,Content Creation,18.87,,,
2015.67,Content Creation,18.58,,,
2015.67,Content Creation,18.58,,,
2015.67,Content Creation,19.12,,,
2015.67,Cybersecurity,47.84,,,
2015.67,Cybersecurity,50.46,,,
2015.67,Cybersecurity,51.17,,,
2015.67,Cybersecurity,50.88,,,
2015.67,Cybersecurity,51.35,,,
2015.67,Cybersecurity,52.81,,,
2015.67,Cybersecurity,52.58,,,
2015.67,Cybersecurity,53.05,,,
2015.67,Cybersecurity,53.65,,,
2015.67,Data Analysis,32.06,,,
2015.67,DevOps Engineering,40.58,,,
2015.67,DevOps Engineering,39.51,,,
2015.67,DevOps Engineering,40.97,,,
2015.67,DevOps Engineering,40.9,,,
2015.67,DevOps Engineering,40.71,,,
2015.67,DevOps Engineering,42.02,,,
2015.67,DevOps Engineering,41.82,,,
2015.67,DevOps Engineering,42.23,,,
2015.67,DevOps Engineering,43.03,,,
2015.67,Graphic Design,23.85,,,
2015.67,Legal Services,58.88,,,
2015.67,Legal Services,59.37,,,
2015.67,Legal Services,60.01,,,
2015.67,Legal Services,59.47,,,
2015.67,Legal Services,60.8,,,
2015.67,Legal Services,61.27,,,
2015.67,Legal Services,61.9,,,
2015.67,Legal Services,61.09,,,
2015.67,Legal Services,60.97,,,
2015.67,Marketing,27.22,,,
2015.67,Mobile Development,34.49,,,
2015.67,Mobile Development,35.0,,,
2015.67,Mobile Development,35.05,,,
2015.67,Mobile Development,36.18,,,
2015.67,Mobile Development,36.45,,,
2015.67,Mobile Development,34.73,,,
2015.67,Mobile Development,36.2,,,
2015.67,Mobile Development,36.07,,,
2015.67,Mobile Development,36.5,,,
2015.67,Photography,24.48,,,
2015.67,Photography,24.8,,,
2015.67,Photography,25.36,,,
2015.67,Photography,25.13,,,
2015.67,Photography,25.01,,,
2015.67,Photography,25.5,,,
2015.67,Photography,25.84,,,
2015.67,Photography,26.16,,,
2015.67,Photography,25.99,,,
2015.67,Project Management,39.84,,,
2015.67,Project Management,39.52,,,
2015.67,Project Management,40.45,,,
2015.67,Project Management,40.88,,,
2015.67,Project Management,40.65,,,
2015.67,Project Management,40.64,,,
2015.67,Project Management,41.18,,,
2015.67,Project Management,41.51,,,
2015.67,Project Management,40.72,,,
2015.67,SEO/SEM,24.95,,,
2015.67,SEO/SEM,25.69,,,
2015.67,SEO/SEM,25.55,,,
2015.67,SEO/SEM,25.45,,,
2015.67,SEO/SEM,26.25,,,
2015.67,SEO/SEM,25.92,,,
2015.67,SEO/SEM,26.46,,,
2015.67,SEO/SEM,25.6,,,
2015.67,SEO/SEM,26.82,,,
2015.67,Social Media Management,19.89,,,
2015.67,Social Media Management,20.28,,,
2015.67,Social Media Management,20.25,,,
2015.67,Social Media Management,20.69,,,
2015.67,Social Media Management,20.04,,,
2015.67,Social Media Management,20.42,,,
2015.67,Social Media Management,20.98,,,
2015.67,Social Media Management,20.85,,,
2015.67,Social Media Management,21.04,,,
2015.67,Translation,21.99,,,
2015.67,Translation,22.17,,,
2015.67,Translation,22.05,,,
2015.67,Translation,21.73,,,
2015.67,Translation,22.06,,,
2015.67,Translation,22.08,,,
2015.67,Translation,22.22,,,
2015.67,Translation,22.81,,,
